Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
CHE,2019,5273.0,28763.99609375,,0,,
CHE,2020,5505.0,29016.115234375,,0,,
CHE,2021,5694.0,34070.3359375,,0,,
CHE,2022,5757.0,40442.8515625,,0,,
CRI,2010,2596.0,279635.568359375,9034.458312988281,1,30.952112309529422,3.4801457291942532
CRI,2011,2817.0,296739.298828125,10087.5,1,29.416535199814128,3.580937167199148
CRI,2012,3091.0,335090.26171875,10741.625,1,31.19549060023507,3.4751294079585895
CRI,2013,4145.0,371941.580078125,12017.0,1,30.951284020814263,2.899155609167672
CRI,2014,3800.0,423351.392578125,13039.16662597656,1,32.46767256848506,3.4313596384148846
CRI,2015,4171.0,511617.1640625,14209.16638183594,1,36.006135076053276,3.4066570083519396
CRI,2016,4652.0,590764.43359375,15523.83361816406,1,38.0553185588456,3.3370235636638137
CRI,2017,5167.0,690818.5625,17609.33325195313,1,39.23025094793854,3.408038175334455
CRI,2018,6061.0,803234.8125,20329.16674804688,1,39.51144788446239,3.3540944972854114
CRI,2019,7971.0,962079.625,22997.33325195313,1,41.83439942621573,2.8851252354727297
CRI,2020,9083.0,948425.5234375,24991.41723632813,1,37.950049589778594,2.751449657197856
CRI,2021,9261.0,1549164.859375,33087.66723632813,1,46.82000844333071,3.572796375804787
CRI,2022,8331.0,1894442.1875,39636.08203125,1,47.79589935267512,4.75766198910695
CYP,2010,412.0,609.9999752044682,2227.0,0,0.2739110800199678,5.405339805825243
CYP,2011,458.0,701.5999984741211,2380.0,0,0.29478991532526094,5.1965065502183405
CYP,2012,503.0,734.5999984741211,2627.0,0,0.2796345635607617,5.222664015904573
CYP,2013,542.0,779.5000114440916,2700.0,0,0.28870370794225614,4.981549815498155
CYP,2014,605.0,798.8999862670901,3032.0,0,0.26348944138096636,5.011570247933884
CYP,2015,684.0,1043.2000122070299,3149.0,0,0.3312797752324642,4.603801169590644
CYP,2016,907.0,1317.2000007629395,3717.0,0,0.3543718054245196,4.098125689084895
CYP,2017,1136.0,1634.5000495910695,4320.0,0,0.3783564929608957,3.8028169014084505
CYP,2018,1388.0,1844.3999519348195,5614.0,0,0.32853579478710715,4.044668587896253
CYP,2019,1679.0,2532.0000495910695,6833.0,0,0.3705546684605692,4.069684335914235
CYP,2020,1856.0,2665.599952697759,7120.0,0,0.3743820158283369,3.836206896551724
CYP,2021,2192.0,3733.080047607427,8611.0,0,0.4335245671359223,3.928375912408759
CYP,2022,2927.0,5617.669845581055,11924.0,0,0.4711229323700985,4.0737956952511105
CZE,2010,24239.0,153408.140625,54214.0,1,2.8296775855867486,2.2366434258839063
