Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers
ISL,Iceland,Europe & Central Asia,High income,2019,1197.0,145091.228515625,5011.0,28.954545702579324,4.186299081035923,0,0,1,99.5049411693787,60523.8179440825,38.6029941779872,24985687022.0452,70905.7779084376
ISL,Iceland,Europe & Central Asia,High income,2020,1266.0,154126.22265625,5118.0,30.11454135526573,4.042654028436019,0,0,1,99.5327519,55796.7454667632,38.6826471438625,22034665040.7901,75513.7626445235
ISL,Iceland,Europe & Central Asia,High income,2021,1407.0,170604.9375,5304.0,32.16533512443439,3.769722814498934,0,0,1,99.68701957,61610.2132740715,38.4077027940877,26234872402.457,78946.0968538602
ISL,Iceland,Europe & Central Asia,High income,2022,1416.0,197195.8515625,5852.0,33.69717217404306,4.132768361581921,0,0,1,97.58339691,75332.8528345867,37.4212579793667,29166102877.2755,85331.790588032
ITA,Italy,Europe & Central Asia,High income,2010,80345.0,39189.298828125,272105.0,0.144022707514103,3.3867073246623933,0,0,0,53.68,34974.1045135807,21.7704634480966,2144936254535.0,125.912314710843
ITA,Italy,Europe & Central Asia,High income,2011,78290.0,43045.2001953125,269818.0,0.1595342052617412,3.4463916208966663,0,0,0,54.3899983018814,36392.2827759493,22.393878996579,2306974020278.21,188.349075374465
ITA,Italy,Europe & Central Asia,High income,2012,78330.0,43404.1982421875,283278.0,0.1532212111148324,3.616468785905784,0,0,0,55.829997993283,36281.1014243506,22.7375144996784,2097929495121.68,300.010398521898
ITA,Italy,Europe & Central Asia,High income,2013,77735.0,43075.6005859375,288833.0,0.1491367003975913,3.71561072875796,0,0,0,58.4593,36459.2950248716,23.1031860985354,2153225581941.46,374.504989611205
ITA,Italy,Europe & Central Asia,High income,2014,79115.0,44421.9990234375,289558.0,0.1534131297475376,3.659963344498515,0,0,0,55.6384602242293,36665.68576775,23.7083714537202,2173255507985.84,496.89404336723
ITA,Italy,Europe & Central Asia,High income,2015,80648.0,46400.298828125,300366.0,0.1544791981386874,3.7244073008630094,0,0,0,58.1417349568747,37384.3796455406,24.5977602494059,1845428048839.1,633.243402476241
