Pais,Setor,Ano,EMPE,ENTR,TUTT
HUN,J63,2020,11409.0,7167.0,336989.25
HUN,J63,2021,9076.0,7894.0,320258.75
HUN,J63,2022,8309.0,7845.0,388879.65625
IRL,J62,2010,,7290.0,21572.19921875
IRL,J62,2011,29705.0,7619.0,28823.900390625
IRL,J62,2012,32136.0,8190.0,33908.3984375
IRL,J62,2013,35610.0,8532.0,37862.3984375
IRL,J62,2014,40053.0,8689.0,40098.69921875
IRL,J62,2015,44388.0,9074.0,51484.5
IRL,J62,2016,50191.0,9253.0,45969.8984375
IRL,J62,2017,55100.0,9986.0,48145.80078125
IRL,J62,2018,59639.0,10104.0,56837.19921875
IRL,J62,2019,66160.0,10443.0,74745.6015625
IRL,J62,2020,70143.0,10927.0,83011.8984375
IRL,J62,2021,75579.0,11779.0,108681.046875
IRL,J62,2022,84901.0,12168.0,122430.703125
IRL,J63,2010,,364.0,9012.900390625
IRL,J63,2011,,0.0,0.0
IRL,J63,2012,4757.0,419.0,13947.400390625
IRL,J63,2013,5383.0,433.0,14923.599609375
IRL,J63,2014,6126.0,442.0,17582.599609375
IRL,J63,2015,,0.0,0.0
IRL,J63,2016,,0.0,0.0
IRL,J63,2017,,0.0,0.0
IRL,J63,2018,,0.0,0.0
IRL,J63,2019,,0.0,0.0
IRL,J63,2020,,0.0,0.0
IRL,J63,2021,13691.0,844.0,
IRL,J63,2022,16217.0,894.0,
ISL,J62,2015,3481.0,846.0,70545.859375
ISL,J62,2016,3804.0,959.0,78390.609375
ISL,J62,2017,3826.0,991.0,80412.234375
ISL,J62,2018,3637.0,995.0,91351.828125
ISL,J62,2019,4268.0,1035.0,114999.453125
ISL,J62,2020,4408.0,1099.0,125805.3359375
ISL,J62,2021,4721.0,1217.0,139699.5625
ISL,J62,2022,5204.0,1227.0,157758.390625
ISL,J63,2015,605.0,152.0,10636.009765625
ISL,J63,2016,649.0,155.0,15549.8759765625
ISL,J63,2017,634.0,157.0,20166.341796875
ISL,J63,2018,742.0,162.0,25884.935546875
ISL,J63,2019,743.0,162.0,30091.775390625
ISL,J63,2020,710.0,167.0,28320.88671875
ISL,J63,2021,583.0,190.0,30905.375
