Pais,Ano,ENTR,TUTT,EMPE,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
GBR,2019,4.243836771245383,0.04345477152703462,3.4219143237955483,0,-0.3179419586107747,-0.12847085443835426
GRC,2010,-0.6167581216077134,-0.3431860023274816,-0.5949268390443934,0,-0.3285420250213233,-1.1888010214304843
GRC,2011,-0.6200350103963574,-0.34386907550745655,-0.6042397891411961,0,-0.3293054825538068,-1.320145076210174
GRC,2012,-0.6228844789082217,-0.34394892261039983,-0.6006013964510474,0,-0.3301430306643754,-1.2395414179199151
GRC,2013,-0.6227705001677472,-0.3435838269231768,-0.5880283574912062,0,-0.33065084536246714,-1.0273000756152948
GRC,2014,-0.42504588012947964,-0.3414321886111284,-0.5636166340594438,0,-0.32813801120722635,-1.5967758700946364
GRC,2015,-0.42855072639907277,-0.3415853935151333,-0.566426096304895,0,-0.32815498064239323,-1.6107174847208003
GRC,2016,-0.44088892505544547,-0.3417295693984404,-0.5570853297502166,0,-0.3294499131967902,-1.5061621100985614
GRC,2017,-0.4911820442898513,-0.3407420619553969,-0.5490352468409732,0,-0.3282648265938604,-1.274871327576005
GRC,2018,-0.4967670025731054,-0.3407259795665723,-0.5353050432335007,0,-0.32945602918086087,-1.1203908816678758
GRC,2019,-0.4877911767607327,-0.34022319721182,-0.5254524538539084,0,-0.3293794801980197,-1.066960235768093
GRC,2020,-0.46419757748249585,-0.3398719267874028,-0.5131631427643999,0,-0.32970767662581524,-1.0587758082749772
GRC,2021,-0.4015092702214801,-0.33856782388279094,-0.49119370433412873,0,-0.3292999589927312,-1.1196645750786867
GRC,2022,-0.33155481825521016,-0.335644095896344,-0.43588902278555314,0,-0.3289697949168892,-0.9779666640558922
HRV,2010,-0.6905878507501187,-0.34503602739651756,-0.6154553849567004,0,-0.3320299455211482,-0.8519181737934336
HRV,2011,-0.6886787068471697,-0.34455525221418126,-0.6008906876129553,0,-0.3321380178264456,-0.47361248229016484
HRV,2012,-0.6859147223906612,-0.34460970634805066,-0.5978809468707986,0,-0.3326502821588098,-0.44361163557323546
HRV,2013,-0.6785630936300512,-0.3443924545461228,-0.5906041614905011,0,-0.3327080689662822,-0.3896420652898873
HRV,2014,-0.6734625449938141,-0.34457810606716577,-0.5852634015783562,0,-0.3336912230811437,-0.349102987170321
HRV,2015,-0.66619640028856,-0.34424235349175697,-0.5799838378735379,0,-0.33320723953277653,-0.3504999507201237
HRV,2016,-0.6595286439707974,-0.3439525904832321,-0.5748489197496737,0,-0.33287770809876344,-0.34533771267884306
HRV,2017,-0.6514931427673398,-0.3432212704381469,-0.561780747839644,0,-0.33219255480334836,-0.1989377903272815
HRV,2018,-0.6382146195020519,-0.3424857183678804,-0.5493801709186326,0,-0.3315987021986134,-0.16279579507358333
HRV,2019,-0.5511633564645959,-0.3415893435717699,-0.5344816760803783,0,-0.3310065827652742,-0.8126956268104709
HRV,2020,-0.5354342902791047,-0.34129083409229277,-0.5239114220875916,0,-0.33119806901716653,-0.7950115676646022
HRV,2021,-0.5036342216866985,-0.3395390802595905,-0.48733834327254916,0,-0.33077169680415075,-0.614943243515679
HRV,2022,-0.47693470173052954,-0.33819908841411284,-0.4636109047045303,0,-0.33034549195676066,-0.5551422121307957
HUN,2010,-0.09601775106450267,2.4038000382264872,-0.4263702309004699,1,2.296581806472182,-1.4309509223532342
HUN,2011,-0.08764031363962146,2.6114816366841627,-0.41801416695459315,1,2.4018309016926165,-1.4091866568030444
HUN,2012,-0.10334088513999407,2.797310880010313,-0.39097656989935947,1,2.29223906313052,-1.2745849641800069
HUN,2013,-0.13673665609904428,3.0424716139514736,-0.38160242359523017,1,2.4054374833071708,-1.1751081359284328
HUN,2014,-0.06470209211911342,3.307955432727181,-0.35499319999128315,1,2.370845483596319,-1.1956827493931974
HUN,2015,-0.015149834697792302,3.776733935167625,-0.3376079138189364,1,2.5588545318505487,-1.2109673479907206
HUN,2016,0.02551208096651203,3.963020606168296,-0.31760231731469357,1,2.51807847162682,-1.2022233762546248
HUN,2017,0.08466704727281602,4.809394103612133,-0.29633941691446664,1,2.885086486553697,-1.216300233297625
HUN,2018,0.17134787940372967,5.301813055486198,-0.2941196635759814,1,3.1722644231756374,-1.3188919349240615
HUN,2019,0.27504003855047354,5.958890540379816,-0.2836718019978479,1,3.474961329905216,-1.3989875368866842
HUN,2020,0.32356648730752346,6.719892013209076,-0.2686954210775416,1,3.7760495722529566,-1.405739010721062
HUN,2021,0.45595279436874137,7.688879712987815,-0.2325173359643349,1,3.953888188046396,-1.432098600798087
HUN,2022,0.48245285152907985,8.92125872917419,-0.20854511256700947,1,4.355466050886899,-1.399550332593619
IRL,2010,-0.5714230775839515,-0.2606825564276699,-0.5053077750602867,0,-0.2180407685815978,-0.2848715205990365
IRL,2011,-0.572420391563104,-0.26565169297663005,-0.5053077750602867,0,-0.22507938865216992,-0.27503609452641126
IRL,2012,-0.5442106532956469,-0.2119541321810941,-0.4653188352181017,0,-0.1862815333052675,-0.06176282557708595
IRL,2013,-0.5340665453934098,-0.1980438187590082,-0.44250933975998274,0,-0.18740553159921045,0.0966562215620033
IRL,2014,-0.529336427663715,-0.18423196955348373,-0.41365810965124994,0,-0.1919882578170847,0.36412234180947545
IRL,2015,-0.5309606247154777,-0.20171593117211553,-0.42362196486234527,0,-0.2025784729166637,0.27276070205615616
IRL,2016,-0.5258600760792405,-0.21727510692318155,-0.3913381838517443,0,-0.23154217179558004,0.5665356538215023
IRL,2017,-0.5049734718872748,-0.21113590600361143,-0.3640279855093283,0,-0.23654126479416493,0.6180784906683292
IRL,2018,-0.5016110990432748,-0.18661355488196535,-0.3387762050497181,0,-0.22713527108190126,0.8303563520183762
IRL,2019,-0.49195140078805466,-0.13608588278648764,-0.30249798068815875,0,-0.20615229547761216,1.0691373475860235
IRL,2020,-0.4781599731906312,-0.11276293471291812,-0.28033939034433253,0,-0.19977769132602313,1.1154186063293745
IRL,2021,-0.42983298722941177,-0.040338701086472084,-0.17393031238642023,0,-0.19574427568614852,1.4755369902546265
IRL,2022,-0.41732382046232724,-0.0015447255497320403,-0.10801643380403175,0,-0.19653627391676046,1.844813796027949
ISL,2015,-0.7610837017336429,-0.11792627192540199,-0.6478337419240789,1,2.0184074881796517,-0.16724863221528888
ISL,2016,-0.7577783182598803,-0.08192846687702018,-0.6457920139159986,1,2.164154964993879,-0.22069550538735502
ISL,2017,-0.7568094989658464,-0.06319942171315569,-0.6457530708749725,1,2.3369162636493113,-0.2826426748374831
ISL,2018,-0.7565530467997786,-0.016199169007825052,-0.6462036974925598,1,2.838045012169987,-0.337936440720022
ISL,2019,-0.7554132593950329,0.062390826850247626,-0.6426876972170643,1,3.097088731614714,-0.11643361094110422
ISL,2020,-0.7534471261218465,0.08788261626614637,-0.6420924250185231,1,3.234798566561136,-0.19567875905565407
ISL,2021,-0.7494293755201177,0.1343764957422498,-0.6410576527855452,1,3.478260230238349,-0.3462476375660065
ISL,2022,-0.74917292335405,0.2094014455216439,-0.6380089690023624,1,3.6601135214794773,-0.14596508254441926
ITA,2010,1.4998840783753662,-0.23640623359193175,0.8432341027563043,0,-0.3231761264322139,-0.5575470779080525
ITA,2011,1.4413275004565538,-0.22552699846118043,0.8305108549239341,0,-0.32133466625979673,-0.5246208419563606
ITA,2012,1.4424672878612994,-0.2245141032152934,0.9053927595254658,0,-0.32208411853573865,-0.430793801706043
ITA,2013,1.4255129502157067,-0.22544122526156218,0.9362968442254294,0,-0.32256901457427595,-0.37609983345941095
ITA,2014,1.4648356156794347,-0.22164242861549474,0.9403302306174138,0,-0.32206133475791004,-0.40679901263761475
ITA,2015,1.5085179679663152,-0.21606075349344328,1.0004582859616453,0,-0.3219347755748244,-0.37124699901264036
ITA,2016,1.56681809371906,-0.20984396543837525,1.112820085904969,0,-0.3222742305366925,-0.2873434507273823
ITA,2017,1.5899272833502798,-0.2055945770737222,1.1586393553179124,0,-0.3221813084589741,-0.25370223476503795
ITA,2018,1.6937334212374981,-0.20278215293600488,1.1851985092976831,0,-0.32208549138488846,-0.3142846896224104
ITA,2019,1.6792296265121087,-0.20084974033485276,1.2213042716204128,0,-0.3221935133162097,-0.2605539917562773
ITA,2020,1.758986250159192,-0.19618871500574844,1.3248649442918476,0,-0.3225850855112933,-0.2134980773313184
ITA,2021,1.880402103449732,-0.17951703908858335,1.428364420755956,0,-0.3215980321211638,-0.204572981326967
ITA,2022,1.9875421194958318,-0.16431712437034174,1.555368804125077,0,-0.3210651731743065,-0.16104750767427986
LTU,2010,-0.7542734719902872,-0.34591490928301244,-0.6175583091721075,0,-0.3355840769616027,1.8233640921352607
LTU,2011,-0.7511390566272363,-0.3456725467496298,-0.6102203275844834,0,-0.3352142227123646,2.016562121470307
LTU,2012,-0.736293325680423,-0.3455495314442741,-0.6031549472840416,0,-0.3353173652534208,1.1525903290598567
LTU,2013,-0.7225873821383555,-0.34533848697568315,-0.5941479782238723,0,-0.3352550973629449,0.8000589286955367
LTU,2014,-0.6883937599959833,-0.34506621690906286,-0.5848906610428211,0,-0.3350534874757479,-0.03205439227882707
LTU,2015,-0.6649711288284582,-0.34458318470833765,-0.5725512803291363,0,-0.3345571049654266,-0.2022974204770987
LTU,2016,-0.6535162654107636,-0.3443357434153904,-0.5619865896279246,0,-0.3345798960476505,-0.17008745826058402
LTU,2017,-0.6410355933287977,-0.34385496825458,-0.5558780954784088,0,-0.33390188690945705,-0.24345341140705293
LTU,2018,-0.6229129735933404,-0.34322832406458514,-0.54762773407246,0,-0.33313633850885993,-0.34092331473368476
LTU,2019,-0.6004306670347306,-0.3423229205921921,-0.5389935055478258,0,-0.33199391102164577,-0.45979795879145374
LTU,2020,-0.577378466773748,-0.34124371557493216,-0.5282674793909347,0,-0.3308427268343468,-0.530577403857177
LTU,2021,-0.5466611962158503,-0.33963325986305143,-0.50653169920682,0,-0.32979425453520944,-0.5174099142175652
LTU,2022,-0.5148896223085627,-0.33709370051116594,-0.47808102609149794,0,-0.3282548455886769,-0.44547720558334847
LUX,2010,-0.7504266894992703,-0.3469769033161495,-0.6241118666476353,0,-0.3402739002336694,0.9315839855075299
LUX,2011,-0.7488024924475075,-0.3413156626076543,-0.6241118666476353,0,-0.31174655915703425,0.7976604210612533
LUX,2012,-0.7468933485445585,-0.3374375789210601,-0.6221535880131822,0,-0.294149079852435,0.7830950826033786
LUX,2013,-0.7436449544410331,-0.3413450058916762,-0.6244567907252947,0,-0.31168212355285246,0.41401521845608913
LUX,2014,-0.7415363477422534,-0.34130691630890964,-0.6230770944146572,0,-0.31232505900841584,0.3704647575807709
LUX,2015,-0.7374331130851688,-0.3408334771090235,-0.6225096386739918,0,-0.3103489390647873,0.180964585904398
LUX,2016,-0.7359228947738806,-0.3403817625963857,-0.6194108852666328,0,-0.310094647495198,0.27087317836194214
LUX,2017,-0.7327599847257112,-0.3395113450939056,-0.6143761063911212,0,-0.3091727062378235,0.3712357288437371
LUX,2018,-0.7297680427882537,-0.3394930056651662,-0.6107488402841227,0,-0.31098691063292955,0.40270517691547825
LUX,2019,-0.7246389994668978,-0.33907119880415887,-0.6072328400086273,0,-0.311053790671415,0.3322212243017696
LUX,2020,-0.7249239463180842,-0.3469769033161495,-0.6072328400086273,0,-0.3402739002336694,0.3443876314249483
LUX,2021,-0.7146943543604912,-0.3469769033161495,-0.6072328400086273,0,-0.3402739002336694,-0.03433835250469418
LUX,2022,-0.7140104819176438,-0.3469769033161495,-0.6072328400086273,0,-0.3402739002336694,-0.03433835250469418
LVA,2010,-0.7319051441721519,-0.34604356747875586,-0.6260256389494873,0,-0.3353686800653818,-0.24158235998301664
LVA,2011,-0.7218465203252707,-0.3457992298201881,-0.6193163093098552,0,-0.33489483116096225,-0.2861075032009963
LVA,2012,-0.6989367934898814,-0.3453895552483169,-0.6035054346532762,0,-0.334733040836941,-0.334091184128437
LVA,2013,-0.6818684771038138,-0.34507637419140663,-0.5919838578011386,0,-0.33461252133211616,-0.3633341490017412
LVA,2014,-0.6728356619212039,-0.34503461675733377,-0.5770074768808322,0,-0.33541429568652975,-0.16033774839909626
LVA,2015,-0.6544850847047974,-0.3447795576855993,-0.5699031535393644,0,-0.33516414687626706,-0.319556427815876
LVA,2016,-0.6420044126228316,-0.34450644126129987,-0.5571910322901446,0,-0.3351731804253428,-0.25426886757838674
LVA,2017,-0.6398673112389333,-0.34410156310374435,-0.5456583288548565,0,-0.33488536962952464,-0.06753118956081361
LVA,2018,-0.6274721232123234,-0.34361175918054765,-0.5344761127888031,0,-0.3344856425360153,-0.052941495771832076
LVA,2019,-0.6220296383546624,-0.34314875921002397,-0.5289239477968025,0,-0.3339473635902589,-0.03638240944401508
LVA,2020,-0.6161597332202219,-0.343121391105002,-0.5223982067791505,0,-0.3341827663830679,-0.010926862406446738
LVA,2021,-0.6217161968183573,-0.3424676328163083,-0.5128682883109169,0,-0.33358044050569513,0.22951070881238234
LVA,2022,-0.6136522009297812,-0.341472930364324,-0.5038724458338978,0,-0.3325448319188917,0.25228673912368615
MKD,2011,-0.7739917940923884,-0.33185620344036615,-0.657124438854581,0,-0.07693736776388096,0.0196798964059586
MKD,2012,-0.7717692086531343,-0.33055355121322294,-0.6554888311314867,0,-0.08528066316509679,-0.026168451289711035
MKD,2013,-0.7696036125841174,-0.3317729878691625,-0.6491856217768407,0,-0.17380956129296893,0.6071163342498852
MKD,2014,-0.7685493092347275,-0.3292073690183904,-0.646359469656664,0,-0.1684343560906394,0.835415707926088
MKD,2015,-0.7647880107990666,-0.323040183318108,-0.6416640515672366,0,-0.14640183488298664,0.8758744712535208
MKD,2016,-0.7626509094151683,-0.3192923708212242,-0.6376918613825788,0,-0.14314089018201842,1.0309767458286043
MKD,2017,-0.7607417655122192,-0.31242201226993394,-0.6309491519934959,0,-0.13609790020450838,1.463666988712795
MKD,2018,-0.7563250893188295,-0.3046650094312021,-0.6245235502241965,0,-0.125155216409492,1.4931084779703683
MKD,2019,-0.7521648652915075,-0.3469769033161495,-0.6168517711420634,0,-0.3402739002336694,1.6369542761656743
MKD,2020,-0.7482183514025753,-0.2903703939136053,-0.6069518937840822,0,-0.1319757824286872,1.9260173773897462
