Pais,Ano,ENTR,TUTT,EMPE,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,PROD,TAMANHO_MEDIO
FRA,2010,1.2103495828848292,-0.18951437732793522,1.276742472166792,0,0,0,-0.3223738460520689,0.32550010620654146
FRA,2011,1.2245399360739138,-0.1782372791538449,1.351012414695057,0,0,0,-0.321764502015258,0.41031167272216446
FRA,2012,1.6029493544495,-0.1748467604448171,1.383958227403101,0,0,0,-0.3216919985227991,0.0006357091392237855
FRA,2013,1.7997621445639709,-0.17259731371909853,1.4005869059212273,0,0,0,-0.32159544560146425,-0.165656237127404
FRA,2014,2.104085381631084,-0.17047570752888622,1.4982337996482769,0,0,0,-0.32225527466822274,-0.3080102815641827
FRA,2015,1.6176241172856014,-0.16214330093615303,1.6193967268634895,0,0,0,-0.32241301986803217,0.26221134835200627
FRA,2016,1.636829535055567,-0.1524483154995855,1.6390017663743213,0,0,0,-0.32159085633803125,0.26376552680126897
FRA,2017,1.6173391704344149,-0.11610713849583963,1.858646081052856,0,0,0,-0.31994164997620667,0.5434044888093823
FRA,2018,1.7687029377846495,-0.13307160704179274,1.6843425927118016,0,0,0,-0.32004460520398337,0.17519906068351468
FRA,2019,1.977227043482883,-0.111997361775449,1.8044039881951344,0,0,0,-0.3190839533850114,0.1017793431195057
FRA,2020,2.0839396392522027,-0.10548099400078192,2.0122318715680483,0,0,0,-0.3202391933147924,0.2122774237949331
FRA,2021,2.3376278208634864,-0.07580658629320873,2.1576730032172198,0,0,0,-0.31886766627540714,0.12967797884030072
FRA,2022,2.8467423598782906,-0.03228825331252265,2.410363269852151,0,0,0,-0.3174035348472431,-0.03176532471597522
GBR,2010,2.3784607046385027,-0.1394668026884185,1.962863222130159,0,0,0,-0.3228651996215167,-0.07701735390076365
GBR,2011,2.635026849446769,-0.1280094728915784,2.4928501940369143,0,0,0,-0.32511203435807046,0.1843043497191711
GBR,2012,2.7576394795122923,-0.12055163344894296,2.3930224900124055,0,0,0,-0.3240133728179399,0.01455943768250965
GBR,2013,3.0603385195276425,-0.10067737912806295,2.715036932965293,0,0,0,-0.32428675287814623,0.05902332167725759
GBR,2014,3.315308961969265,-0.0871263044087284,2.6873706839620675,0,0,0,-0.32320144085565494,-0.11436830651904209
GBR,2015,3.6809812560968176,-0.06881241334598265,2.766525196493315,0,0,0,-0.3223716056639711,-0.2534095547790284
GBR,2016,3.9289135113141342,-0.049316040040678834,3.433836457641097,0,0,0,-0.3243430517233638,0.032055296156108776
GBR,2017,4.047536885463048,-0.02773276933046328,3.6602012285424137,0,0,0,-0.32406451960062277,0.10401120575333136
GBR,2018,4.175905441922537,0.014937807906998278,3.4219143237955483,0,0,0,-0.3206176372897249,-0.09699099783639013
GBR,2019,4.243836771245383,0.04322052448773449,3.4219143237955483,0,0,0,-0.3189996079309612,-0.12842178906679022
GRC,2010,-0.6167581216077134,-0.3434507626664176,-0.5949268390443934,0,0,0,-0.3296025574754485,-1.1887496209814072
GRC,2011,-0.6200350103963574,-0.3441338897538385,-0.6042397891411961,0,0,0,-0.3303662226623219,-1.3200933865129383
GRC,2012,-0.6228844789082217,-0.34421374315823455,-0.6006013964510474,0,0,0,-0.3312039985793295,-1.2394899057294555
GRC,2013,-0.6227705001677472,-0.3438486186580284,-0.5880283574912062,0,0,0,-0.33171195139898896,-1.0272490308264062
GRC,2014,-0.42504588012947964,-0.34169681054085604,-0.5636166340594438,0,0,0,-0.3291984337728005,-1.5967235711962608
GRC,2015,-0.42855072639907277,-0.34185002753563737,-0.566426096304895,0,0,0,-0.3292154078235191,-1.610665155119959
GRC,2016,-0.44088892505544547,-0.34199421479715963,-0.5570853297502166,0,0,0,-0.33051069258929383,-1.5061100107513823
GRC,2017,-0.4911820442898513,-0.34100662942102544,-0.5490352468409732,0,0,0,-0.32932528365221325,-1.274819737581405
GRC,2018,-0.4967670025731054,-0.340990545762995,-0.5353050432335007,0,0,0,-0.3305168102368637,-1.1203396318727972
GRC,2019,-0.4877911767607327,-0.34048772372916664,-0.5254524538539084,0,0,0,-0.3304402404333067,-1.0669091036389107
GRC,2020,-0.46419757748249585,-0.34013642558284213,-0.5131631427643999,0,0,0,-0.33076852612792595,-1.0587246941696835
GRC,2021,-0.4015092702214801,-0.33883221975974526,-0.49119370433412873,0,0,0,-0.3303606975988815,-1.119613326883093
GRC,2022,-0.33155481825521016,-0.33590826103563654,-0.43588902278555314,0,0,0,-0.33003044372103113,-0.9779157279098996
HRV,2010,-0.6905878507501187,-0.3453009337375648,-0.6154553849567004,0,0,0,-0.3330914266619683,-0.8518675152336158
HRV,2011,-0.6886787068471697,-0.3448201206129363,-0.6008906876129553,0,0,0,-0.333199528362075,-0.47356265684171245
HRV,2012,-0.6859147223906612,-0.34487457904427105,-0.5978809468707986,0,0,0,-0.3337119320262722,-0.44356187619316884
HRV,2013,-0.6785630936300512,-0.34465731009705025,-0.5906041614905011,0,0,0,-0.33376973455129755,-0.3895924247625459
HRV,2014,-0.6734625449938141,-0.34484297626952387,-0.5852634015783562,0,0,0,-0.33475315607627576,-0.34905343591884164
HRV,2015,-0.66619640028856,-0.34450719719686074,-0.5799838378735379,0,0,0,-0.33426904088822446,-0.3504503963922269
HRV,2016,-0.6595286439707974,-0.3442174113205317,-0.5748489197496737,0,0,0,-0.33393941982427655,-0.3452881697193166
HRV,2017,-0.6514931427673398,-0.34348603356040663,-0.561780747839644,0,0,0,-0.33325408017260266,-0.19888856977220715
HRV,2018,-0.6382146195020519,-0.3427504234411131,-0.5493801709186326,0,0,0,-0.33266006604467224,-0.16274665411103875
HRV,2019,-0.5511633564645959,-0.3418539779040084,-0.5344816760803783,0,0,0,-0.3320677855595464,-0.8126450546272275
HRV,2020,-0.5354342902791047,-0.34155544486646444,-0.5239114220875916,0,0,0,-0.3322593238941795,-0.7949610344255009
HRV,2021,-0.5036342216866985,-0.33980355278711777,-0.48733834327254916,0,0,0,-0.3318328357113056,-0.6148931068261692
HRV,2022,-0.47693470173052954,-0.33846345519083615,-0.4636109047045303,0,0,0,-0.33140651493957957,-0.555092207136156
HUN,2010,-0.09601775106450267,2.4037520672533375,-0.4263702309004699,0,0,1,2.2962352868665374,-1.4308989886374393
HUN,2011,-0.08764031363962146,2.61145005573315,-0.41801416695459315,0,0,1,2.401513009005587,-1.409134771016893
HUN,2012,-0.10334088513999407,2.7972939645156263,-0.39097656989935947,0,0,1,2.291891362333152,-1.2745333748160412
HUN,2013,-0.13673665609904428,3.0424740462944686,-0.38160242359523017,0,0,1,2.4051205715817177,-1.1750567656340662
HUN,2014,-0.06470209211911342,3.3079788167852007,-0.35499319999128315,0,0,1,2.370519163121476,-1.1956313337890596
HUN,2015,-0.015149834697792302,3.776794314751919,-0.3376079138189364,0,0,1,2.5585793483447405,-1.2109158987265745
HUN,2016,0.02551208096651203,3.963095687308646,-0.31760231731469357,0,0,1,2.5177921973562407,-1.202171946246605
HUN,2017,0.08466704727281602,4.809535979694656,-0.29633941691446664,0,0,1,2.884900035550505,-1.216248772289306
HUN,2018,0.17134787940372967,5.301993792775405,-0.2941196635759814,0,0,1,3.172156082292085,-1.3188402479865151
HUN,2019,0.27504003855047354,5.959123133560942,-0.2836718019978479,0,0,1,3.4749353201780107,-1.398935673561212
HUN,2020,0.32356648730752346,6.720184663858359,-0.2686954210775416,0,0,1,3.776105456138153,-1.4056871325273768
