Pais,Country_Name,Region,Income_Group,Ano,ENTR,TUTT,EMPE,PROD,TAMANHO_MEDIO,Flag_TUTT_Zero_Suspeito,Flag_TUTT_Ausente_Ou_Imputado,Flag_Outlier_Prod,Internet_Usage_Pct,GDP_Per_Capita_PPP,Broadband_Subscriptions,GDP_USD,Secure_Servers,ENTR_model,TUTT_model,EMPE_model,PROD_model,TAMANHO_MEDIO_model,GDP_Per_Capita_PPP_model,Broadband_Subscriptions_model,GDP_USD_model,Secure_Servers_model,Internet_Usage_Pct_model
NOR,Norway,Europe & Central Asia,High income,2014,9460.0,92167.4111328125,44809.0,2.056895068687373,4.7366807610993655,0,0,0,96.3005098242892,66332.4614374198,38.4850493294753,501736471832.848,3571.3785166798,-0.09908876575674631,0.4353635891515091,-0.07258134782739818,1.7661509465976692,0.18805638812840417,0.953211286767581,0.6144583486715377,0.32271705415331353,0.014997975205024515,0.8068702198143876
NOR,Norway,Europe & Central Asia,High income,2015,10065.0,97676.837890625,46778.0,2.088093503155864,4.647590660705415,0,0,0,96.810325691365,60737.8868132779,39.5096431037131,388159512245.53,4093.96973021853,-0.06852185338630408,0.4512855980934312,-0.051567724746108184,1.7853532794561524,0.1591776745764274,0.8081783326047228,0.6734970388161747,0.21439291300155264,0.05429278543317059,0.8331598955233779
NOR,Norway,Europe & Central Asia,High income,2016,10153.0,100941.4375,47264.0,2.135693921377793,4.655175810105388,0,0,0,97.2982036675068,59280.1992028829,40.2402948978253,370956547619.048,7003.5088228737,-0.06422948522861058,0.4603016616559686,-0.046517151637946175,1.8142802548156813,0.16165409410506731,0.7681929071566352,0.7146932248516519,0.19526054116708388,0.20879071630228146,0.8583182999722129
NOR,Norway,Europe & Central Asia,High income,2017,10258.0,100766.109375,48427.0,2.080783640840853,4.720900760382141,0,0,0,96.3576012951191,64589.5559196863,41.0328263217001,401745275035.261,14572.5727349493,-0.059156320137748464,0.45982490501564116,-0.034638899270324104,1.7808715893955835,0.1829741020496362,0.9093834520043139,0.758561159131895,0.2289124057621105,0.4196605127704872,0.8098142557905065
NOR,Norway,Europe & Central Asia,High income,2018,10310.0,111534.4677734375,51787.0,2.153715561307616,5.022987390882638,0,0,0,96.4916579887094,70253.8463693386,41.5279365452303,439788625883.8,20886.248954238,-0.05666308821637985,0.4876693518101856,-0.0018598282183626912,1.8251176314199102,0.2779164969569174,1.047751189491272,0.7855485182336424,0.26709826758734856,0.5232537366479281,0.816727157543297
NOR,Norway,Europe & Central Asia,High income,2019,11364.0,126996.4345703125,56164.0,2.2611714723009846,4.942273847236889,0,0,0,98.0000043853142,70939.605518036,42.2722351352817,408742840909.091,36180.9578944692,-0.008667998833384927,0.5232732319470595,0.037787287950964754,1.888478403815902,0.2530235916083385,1.0637402944810193,0.8255330815057048,0.23620044109959448,0.6813859115784204,0.894508058814595
NOR,Norway,Europe & Central Asia,High income,2020,11881.0,138483.896484375,58699.0,2.359220710478458,4.940577392475381,0,0,0,94.60755647,67110.6045705502,44.3863056613216,367633418886.627,39030.0168696759,0.013269542088401127,0.547021461225614,0.05935938621415072,1.944496816960182,0.2524967665838203,0.9724082144037747,0.9354598971031772,0.19146261929551137,0.703201199039497,0.7195696912333642
NOR,Norway,Europe & Central Asia,High income,2021,12669.0,158935.005859375,62632.0,2.5376006811114924,4.943720893519615,0,0,0,99.0000036,88984.1386736515,44.9392216218255,503367986030.268,43861.1250813561,0.04493466894459753,0.584796312810981,0.09104986551206602,2.042340438123212,0.2534728453063293,1.4367759300763607,0.9633657093392303,0.3240872396734521,0.7367877205807721,0.9460750200669522
NOR,Norway,Europe & Central Asia,High income,2022,13341.0,185139.546875,68008.0,2.722320122265028,5.097668840416761,0,0,0,98.99997764,125489.548935602,45.6644653158508,596297651035.798,44150.8874541494,0.07041968281816169,0.6266501006409055,0.13128944004365595,2.1385931572984758,0.300653691163154,2.002619699980362,0.9994640289527609,0.39559120028761224,0.7386828381334984,0.9460736813875867
POL,Poland,Europe & Central Asia,High income,2010,37527.0,27094.453125,76697.0,0.3532661398099013,2.043781810429824,0,0,0,62.32,20990.9122325468,15.378511671936,478111630683.514,155.009645190624,0.5804016210256691,0.09961657014225982,0.19004306104774665,0.22515498120863195,-0.9813173017189853,-0.9406495751718872,-1.413464162558359,0.3023609974474779,-0.8861727373609749,-0.9454027897149502
